"Fila","Columna","Damerau_Levenshtein","Jaccard","Cosine","Hamming","Sorensen_Dice","Jaro_Winkler","columna_name","fila_name","name"
"9640","7531",NA,0.0667,0.1348,0.0667,0.125,NA,"YWHAE","ZNF592","YWHAE - ZNF592"
"10771","7531",NA,0.0652,0.1306,0.0652,0.1224,NA,"YWHAE","ZMYND11","YWHAE - ZMYND11"
"9203","7531",NA,0,0,0,0,NA,"YWHAE","ZMYM3","YWHAE - ZMYM3"
"7750","7531",NA,0.1304,0.2479,0.1304,0.2308,NA,"YWHAE","ZMYM2","YWHAE - ZMYM2"
"7704","7531",NA,0,0,0,0,NA,"YWHAE","ZBTB16","YWHAE - ZBTB16"
"7528","7531",NA,0.0556,0.1277,0.0556,0.1053,NA,"YWHAE","YY1","YWHAE - YY1"
"9555","7531",NA,0.0233,0.0525,0.0233,0.0455,NA,"YWHAE","MACROH2A1","YWHAE - MACROH2A1"
"8294","7531",NA,0.0714,0.1343,0.0714,0.1333,NA,"YWHAE","H4C9","YWHAE - H4C9"
"8367","7531",NA,0.0797,0.1778,0.0797,0.1477,NA,"YWHAE","H4C5","YWHAE - H4C5"
"8364","7531",NA,0.0938,0.1717,0.0938,0.1714,NA,"YWHAE","H4C3","YWHAE - H4C3"
"8363","7531",NA,0.08,0.1519,0.08,0.1481,NA,"YWHAE","H4C11","YWHAE - H4C11"
"3021","7531",NA,0.0588,0.1115,0.0588,0.1111,NA,"YWHAE","H3-3B","YWHAE - H3-3B"
"3020","7531",NA,0.1512,0.2786,0.1512,0.2626,NA,"YWHAE","H3-3A","YWHAE - H3-3A"
"3008","7531",NA,0.037,0.0726,0.037,0.0714,NA,"YWHAE","H1-4","YWHAE - H1-4"
"7552","51322",NA,0.066,0.209,0.066,0.1239,NA,"WAC","ZNF711","WAC - ZNF711"
"9640","51322",NA,0.0354,0.1023,0.0354,0.0684,NA,"WAC","ZNF592","WAC - ZNF592"
"10771","51322",NA,0.0926,0.2475,0.0926,0.1695,NA,"WAC","ZMYND11","WAC - ZMYND11"
