"disease_ontology_id_version","ndd_phenotype"
"OMIM:175050",0
"OMIM:174900_2",0
"OMIM:601358",1
"OMIM:614609",1
"OMIM:613325",0
"OMIM:614608",1
"OMIM:609322_1",0
"OMIM:300590",1
"OMIM:610759",1
"OMIM:206920",1
"OMIM:257200",1
"OMIM:607616",1
"OMIM:309583",1
"OMIM:609528",1
"OMIM:613671",1
"OMIM:610733",1
"OMIM:135300",0
"OMIM:611584",1
"OMIM:609136",1
"OMIM:613266",0
"OMIM:206900_1",1
"OMIM:300123",1
"OMIM:312000",0
"OMIM:616803",1
"OMIM:611431",1
"OMIM:136140",1
"OMIM:612379",1
"OMIM:612713",1
"OMIM:300643",1
"OMIM:611090",1
"OMIM:615006",1
"OMIM:612703",1
"OMIM:601186_2",1
"OMIM:272300",1
"OMIM:220110",1
"OMIM:612621",1
"OMIM:300802",1
"OMIM:614229",1
"OMIM:276600",1
"OMIM:605021",1
"OMIM:241410",1
"OMIM:244460",1
"OMIM:610954",1
"OMIM:614815",1
"OMIM:258860",0
"OMIM:614020",1
"OMIM:609192",1
"OMIM:610168",1
"OMIM:614331",0
"OMIM:142946",1
"OMIM:188570",1
"OMIM:145650",0
"OMIM:274300",0
"OMIM:304700",1
"OMIM:213980",1
"OMIM:614727",1
"OMIM:614970",1
"OMIM:614424",1
"OMIM:610688",1
"OMIM:216360",1
"OMIM:607361",0
"OMIM:613550",0
"OMIM:615512",1
"OMIM:613192",1
"OMIM:225750_2",1
"OMIM:192315",0
"OMIM:610448",0
"OMIM:615988",1
"OMIM:254110",0
"OMIM:191100",1
"OMIM:607341_1",1
"OMIM:613254_1",1
"OMIM:300210",1
"OMIM:615985",1
"OMIM:613464",0
"OMIM:611603",1
"OMIM:610031",1
"OMIM:611093",1
"OMIM:300860",1
"OMIM:105830",1
"OMIM:244450",1
"OMIM:243800",1
"OMIM:613161",1
"OMIM:300676",1
"OMIM:224050",1
"OMIM:216550",1
"OMIM:604317",1
"OMIM:610185",1
"OMIM:278700",1
"OMIM:617125",1
"OMIM:300799",1
"OMIM:235730",1
"OMIM:270700",1
"OMIM:609637",1
"MONDO:0001071",1
"OMIM:300803",1
"MONDO:0001071",1
"MONDO:0001071",1
"OMIM:614300",1
"OMIM:615873",1
"MONDO:0001071",1
"OMIM:300884",1
"OMIM:615493",1
"OMIM:612936",1
"OMIM:300607",1
"MONDO:0001071",1
"MONDO:0001071",1
"OMIM:209880",0
"OMIM:615181",1
"OMIM:609195",1
"OMIM:300475",1
"OMIM:218340",1
"OMIM:613227",1
"MONDO:0001071",1
"MONDO:0001071",1
"MONDO:0001071",1
"OMIM:612580",1
"OMIM:616080",1
"MONDO:0700096_1",1
"MONDO:0001071",1
"OMIM:614576",1
"OMIM:615328",1
"OMIM:267750",1
"OMIM:615502",1
"OMIM:615281",1
"OMIM:174300",1
"OMIM:604364",1
"OMIM:300148",1
"OMIM:617270",1
"OMIM:615683",1
"OMIM:610758",1
"OMIM:278760_2",1
"OMIM:615272",0
"OMIM:610965",1
"OMIM:610532",1
"MONDO:0001071",1
"OMIM:615471",1
"OMIM:615465",1
"OMIM:147950",0
"OMIM:123150_1",0
"OMIM:166250",0
"OMIM:101600_1",0
"OMIM:190440",0
"OMIM:216340",1
"OMIM:612577",0
"OMIM:611228",0
"MONDO:0001071",1
"OMIM:617113",1
"OMIM:615510",1
"OMIM:615350",1
"OMIM:615351",1
"OMIM:615352",1
"OMIM:615473",1
"MONDO:0001071",1
"OMIM:614254",1
"MONDO:0001071",1
"MONDO:0001071",1
"OMIM:309590",1
"OMIM:615369",1
"OMIM:615032",1
"OMIM:615630",1
"MONDO:0001071",1
"OMIM:613720",1
"OMIM:121200_2",0
"MONDO:0001071",1
"MONDO:0001071",1
"OMIM:300912",1
"OMIM:615411",1
"OMIM:615637",1
"OMIM:615960",1
"OMIM:615191",1
"OMIM:614340",1
"OMIM:222448",1
"OMIM:615547",1
"OMIM:308205",1
"OMIM:308800",0
"MONDO:0001071",1
"OMIM:615084",1
"OMIM:615673",1
"OMIM:300928",1
"OMIM:615419",1
"OMIM:616116",1
"OMIM:615722",1
"MONDO:0001071",1
"OMIM:614613",1
"OMIM:245349",1
"MONDO:0001071",1
"OMIM:614207",1
"OMIM:615398",1
"OMIM:615399_1",0
"OMIM:269880",1
"OMIM:613722",1
"OMIM:613402",1
"OMIM:605361",1
"OMIM:605361",1
"MONDO:0001071",1
"OMIM:612067",1
"MONDO:0001071",1
"MONDO:0001071",1
"OMIM:602066",0
"OMIM:128200",0
"OMIM:605751",0
"OMIM:151050",1
"MONDO:0001071",1
"MONDO:0001071",1
"OMIM:615524_2",1
"OMIM:615524_1",1
"OMIM:251255",1
"OMIM:606744",1
"MONDO:0001071",1
"OMIM:615355",1
"OMIM:618195",1
"OMIM:615578",1
"OMIM:252900",1
"OMIM:615182",1
"MONDO:0001071",1
"OMIM:300896_1",1
"OMIM:615553",1
"OMIM:613477",1
"OMIM:609056",1
"OMIM:614261",1
"OMIM:615596",1
"OMIM:615476",1
"OMIM:615599",1
"OMIM:615663",1
"OMIM:248000",1
"OMIM:606053",1
"OMIM:615314",1
"OMIM:605407",1
"OMIM:615432",1
"MONDO:0001071",1
"OMIM:615356",1
"OMIM:618302",1
"OMIM:615541",1
"OMIM:612438",1
"OMIM:128101",0
"OMIM:615412",1
"OMIM:619189",1
"OMIM:607596",1
"OMIM:300894",1
"OMIM:617977",1
"OMIM:615220",1
"MONDO:0001071",1
"OMIM:314580",1
"MONDO:0001071",1
"OMIM:238700",1
"MONDO:0001071",1
"OMIM:613163",1
"OMIM:618857_1",1
"OMIM:239510",1
"OMIM:611881",1
"OMIM:608104",1
"OMIM:207800",1
"OMIM:250100",1
"OMIM:215700",1
"OMIM:608688",1
"OMIM:304800",1
"OMIM:300539",1
"OMIM:253260",1
"OMIM:256730",1
"OMIM:204500",1
"OMIM:204200",1
"OMIM:256731",1
"OMIM:601780",1
"OMIM:600143",1
"MONDO:0001071",1
"OMIM:237300",1
"OMIM:256540",1
"OMIM:213700",1
"OMIM:610768",1
"OMIM:612319",1
"OMIM:602081",1
"OMIM:300908",1
"OMIM:231670",1
"OMIM:606056",1
"OMIM:230500",1
"OMIM:230600",1
"OMIM:230650",0
"OMIM:253010",0
"OMIM:272750",1
"OMIM:613470",1
"OMIM:268800",1
"OMIM:246450",1
"OMIM:300472",1
"OMIM:613204",1
"MONDO:0001071",1
"OMIM:258870",1
"OMIM:311250",1
"OMIM:606054_1",1
"OMIM:606054_2",1
"OMIM:608782",1
"OMIM:249900",1
"OMIM:611721",1
"OMIM:610539",1
"OMIM:611722",1
"OMIM:261640",1
"OMIM:261630",1
"OMIM:246700",1
"OMIM:249000",0
"OMIM:615990",1
"OMIM:607483",1
"OMIM:222700",1
"OMIM:607136",0
"OMIM:275350",1
"MONDO:0020022",1
"OMIM:274500",1
"OMIM:275100",1
"MONDO:0001071",1
"MONDO:0001071",1
"OMIM:613038_2",1
"OMIM:227650",1
"OMIM:300514",1
"OMIM:227645",1
"OMIM:603585",1
"OMIM:618244",1
"OMIM:618240",1
"OMIM:618232",1
"OMIM:614876",1
"OMIM:614877",1
"OMIM:614886",1
"OMIM:614867",1
"OMIM:614866",1
"OMIM:614882",1
"OMIM:600513",1
"OMIM:204300",0
"OMIM:272430",1
"OMIM:610127",1
"OMIM:600901",1
"OMIM:603467",1
"OMIM:614082",1
"OMIM:614083",1
"OMIM:617666",1
"OMIM:601777_1",0
"OMIM:204000",1
"MONDO:0100062",1
"OMIM:610951",1
"OMIM:604004",1
"OMIM:614887",1
"OMIM:256600",1
"OMIM:610217",1
"OMIM:612953",0
"OMIM:203700",1
"OMIM:613662",1
"OMIM:607459",0
"OMIM:157640",0
"OMIM:258450",0
"OMIM:607196",1
"OMIM:613710",1
"OMIM:245400",1
"OMIM:272200",1
"OMIM:253250",1
"OMIM:190350",1
"OMIM:190351",1
"OMIM:222300",1
"OMIM:614296",1
"OMIM:600965",0
"OMIM:619051",1
"OMIM:118450",1
"OMIM:218400",0
"OMIM:164200",0
"OMIM:257850",0
"OMIM:186100",0
"OMIM:605259",1
"OMIM:271930",1
"OMIM:182601",1
"OMIM:615232",0
"OMIM:222730",0
"OMIM:607250",1
"OMIM:613068",1
"OMIM:617106",1
"OMIM:108500",0
"OMIM:141500_1",0
"OMIM:183086",0
"OMIM:615744",1
"OMIM:616638",1
"OMIM:617201",1
"OMIM:301029",1
"OMIM:618124",1
"MONDO:0001071",1
"MONDO:0001071",1
"OMIM:300957",1
"OMIM:300114",1
"OMIM:615348",1
"OMIM:300934",1
"OMIM:615597",1
"MONDO:0044970",1
"OMIM:615995",1
"OMIM:615665",1
"OMIM:615838",1
"OMIM:619048",1
"OMIM:619053",1
"OMIM:604213",1
"OMIM:614175_1",1
"OMIM:615157",1
"OMIM:615817",1
"MONDO:0001071",1
"OMIM:616938",1
"OMIM:615041",1
"OMIM:618725",1
"MONDO:0001071",1
"MONDO:0001071",1
"OMIM:616977",1
"OMIM:616421",1
"MONDO:0001071",1
"OMIM:618141",1
"OMIM:121201",1
"OMIM:617635",1
"OMIM:612337",1
"OMIM:617796",1
"MONDO:0001071",1
"MONDO:0001071",1
"OMIM:618522",1
"OMIM:616393",1
"MONDO:0001071",1
"MONDO:0001071",1
"OMIM:618298",1
"MONDO:0001071",1
"OMIM:618906",1
"OMIM:619556",1
"OMIM:617061",1
"OMIM:617991",1
"OMIM:616708",1
"MONDO:0001071",1
"MONDO:0001071",1
"MONDO:0001071",1
"OMIM:617557",1
"MONDO:0001071",1
"MONDO:0001071",1
"OMIM:617600",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"OMIM:151600_2",0
"MONDO:0005258",1
"MONDO:0001071",1
"OMIM:612998",0
"OMIM:610743",0
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"OMIM:616368",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"OMIM:604145",0
"OMIM:613765",0
"OMIM:608807",0
"OMIM:611705",0
"OMIM:603689",0
"OMIM:600334",0
"OMIM:618050",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"OMIM:600919_1",0
"MONDO:0001071",1
"MONDO:0005258",1
"OMIM:617520",1
"MONDO:0005071",1
"OMIM:618512",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"OMIM:614653",0
"OMIM:615425",0
"MONDO:0001071",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"OMIM:166260",0
"OMIM:613319",0
"OMIM:611307",0
"MONDO:0005258",1
"OMIM:617788",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"OMIM:605115",0
"OMIM:177735",0
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"OMIM:613735",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0700096_1",0
"MONDO:0005258",1
"OMIM:611040",0
"OMIM:609549",0
"OMIM:617101",1
"MONDO:0005258",1
"MONDO:0005258",1
"OMIM:146700_2",0
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"OMIM:613954",0
"MONDO:0005258",1
"MONDO:0001071",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"OMIM:617450",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"OMIM:616944",1
"MONDO:0005258",1
"OMIM:606703",1
"MONDO:0005258",1
"MONDO:0005258",1
"OMIM:615284",0
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"OMIM:600116",0
"MONDO:0001071",1
"MONDO:0001071",1
"OMIM:614256",1
"OMIM:614257",1
"OMIM:617391",1
"MONDO:0001071",1
"MONDO:0001071",1
"OMIM:617153",1
"MONDO:0001071",1
"MONDO:0005258",1
"MONDO:0005258",1
"OMIM:615474",1
"OMIM:614896",0
"OMIM:618285",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"MONDO:0005258",1
"OMIM:617681",1
"MONDO:0005258",1
"OMIM:300895",1
"OMIM:301900",1
"OMIM:256520",1
"OMIM:615338",1
"OMIM:220500",1
"OMIM:614617",0
"OMIM:309800",1
"OMIM:300919",1
"OMIM:615716",1
"OMIM:615760",1
"OMIM:615879",1
"OMIM:615942",1
"OMIM:615979",1
"OMIM:615249",1
"OMIM:615751",1
"OMIM:613559",1
"OMIM:615035",1
"OMIM:616033",1
"OMIM:615574",1
"OMIM:277590",1
"OMIM:615871",1
"OMIM:615846",1
"OMIM:615905",1
"OMIM:615816",1
"OMIM:615877_2",1
"OMIM:615862",1
"OMIM:615859",1
"OMIM:615829",1
"OMIM:615763",1
"OMIM:615761",1
"OMIM:300915",1
"OMIM:300923",1
"OMIM:615802",1
"OMIM:615803",1
"OMIM:300868",1
"OMIM:300818",0
"OMIM:616051",1
"OMIM:615636",1
"OMIM:615833",1
